=== Training Configuration ===
NUM_SPECIES: 2
gpu_id: 0
PIN_MEMORY: True
NUM_WORKERS: 0
BATCH_SIZE: 1
LARGE_CUTOFF: 10
CUTOFF: 5
LEARN_RATE: 0.0002
NUM_UPDATES: 30000
train_ratio: 0.9
sigma_max_value: 0.75
num_epochs: 15

=== Training Log ===
Epoch,Train Loss,Valid Loss,Epoch Time (s),Avg it/s
1,0.1300,0.1127,387.93,4.45
2,0.1056,0.0901,417.25,4.14
3,0.1033,0.1108,403.50,4.28
4,0.1020,0.0831,394.19,4.38
5,0.0949,0.1033,391.13,4.42
6,0.0920,0.0959,390.25,4.43
7,0.0914,0.0912,390.61,4.42
8,0.0951,0.0974,391.89,4.41
9,0.0872,0.0895,391.48,4.41
10,0.0908,0.1036,392.52,4.40
11,0.0919,0.0911,391.09,4.42
12,0.0919,0.0762,390.89,4.42
13,0.0890,0.1010,391.40,4.41
14,0.0912,0.0822,391.69,4.41
15,0.0861,0.0940,391.48,4.41
